Epoch: 0, loss: 0.5298919244086244
Epoch: 1, loss: 0.5274771649032128
Epoch: 2, loss: 0.5233790128544217
Epoch: 3, loss: 0.5172300881988449
Epoch: 4, loss: 0.509701060438816
Epoch: 5, loss: 0.5023299140649461
Epoch: 6, loss: 0.49297264671990965
Epoch: 7, loss: 0.48440320759389666
Epoch: 8, loss: 0.4825160641311085
Epoch: 9, loss: 0.4737968994220026
Epoch: 10, loss: 0.465468434586499
Epoch: 11, loss: 0.4566743134329951
Epoch: 12, loss: 0.44849778640129606
Epoch: 13, loss: 0.44031273646655406
Epoch: 14, loss: 0.4309738704735268
